component,path,role,primary_inputs,primary_outputs,command_or_usage,notes
dataset,data/PilotDataset.json,Fixed evaluation dataset,Manual dataset curation,Generation prompts,Read by AR and DLM generation scripts,Keep question identifiers stable for cross-model alignment
AR generation,ar_models/run_model.py,Generate autoregressive model answers,data/PilotDataset.json; OPENROUTER_API_KEY,ar_models/model_outputs/raw_by_model/*.jsonl; ar_models/model_outputs/parsed_by_model/*.jsonl,python3 ar_models/run_model.py --datasets pilot --n-samples 3,Does not grade correctness or compute calibration metrics
DLM generation,dlm_models/run_dlm_model.py,Generate diffusion model answers,data/PilotDataset.json; OPENROUTER_API_KEY,dlm_models/model_outputs/raw_by_model/*.jsonl; dlm_models/model_outputs/parsed_by_model/*.jsonl,python3 dlm_models/run_dlm_model.py --datasets pilot --n-samples 3,Remote OpenRouter generation does not need local VRAM
LLM judge,analysis/llm_as_judge/llm_as_judge.py,Grade answer correctness with deterministic rules plus LLM judging,Raw and parsed generation JSONL; data/PilotDataset.json; OPENROUTER_API_KEY,analysis/llm_as_judge/results/*/by_model/*/all_datasets.jsonl; by_dataset JSONL,python3 analysis/llm_as_judge/llm_as_judge.py --source ar; python3 analysis/llm_as_judge/llm_as_judge.py --source dlm,Prompt grades correctness only and does not evaluate calibration
Paper assets,analysis/generate_paper_assets.py,Generate paper tables figures captions and documentation,LLM judge result JSONL; raw generation counts,paper_assets/tables/*.csv; paper_assets/figures/pngs/*.png; paper_assets/figures/csvs/*.csv; paper_assets/figures/captions/*.txt; documentation/research_notes/*.md,python3 analysis/generate_paper_assets.py,Uses saved judged generations as the source of truth
Figure rendering,analysis/render_figures.py,Render paper figures and companion CSVs,Rows prepared by analysis/generate_paper_assets.py,paper_assets/figures/pngs/*.png; paper_assets/figures/csvs/*.csv; paper_assets/figures/captions/*.txt,Imported by analysis/generate_paper_assets.py,Contains figure style constants and rendering logic
Basic metric figures,analysis/compute_basic_metrics.py,Render basic confidence distribution and reliability figures,LLM judge result JSONL,paper_assets/figures/csvs/figure_2_confidence_histogram_data.csv; paper_assets/figures/csvs/figure_3_reliability_diagram_data.csv,Imported by analysis/generate_paper_assets.py,Contains ECE binning and confidence normalization checks
Artifact checks,analysis/check_review_artifacts.py,Validate figure and table data against saved outputs,Paper asset CSVs; LLM judge result JSONL; generation JSONL,Terminal consistency report,python3 analysis/check_review_artifacts.py,Use before paper submission or migration
Anomaly checks,analysis/run_anomaly_checks.py,Generate quality-control summaries and candidate failure cases,LLM judge result JSONL,paper_assets/tables/quality_control/*.csv; documentation/research_notes/anomaly_checks.md,python3 analysis/run_anomaly_checks.py,Failure candidates are not manual adjudication labels
Failure case statistics,analysis/failure_analysis/failure_cases.py,Summarize zero confidence parsing failure saturation and answer explanation mismatch candidates,LLM judge result JSONL,analysis/failure_analysis/failure_statistics.csv,python3 analysis/failure_analysis/failure_cases.py,Answer explanation mismatch is heuristic and should be described as exploratory
Human audit sample,analysis/human_llm_check/generate_audit.py,Create human review sample for judge agreement,LLM judge result JSONL,analysis/human_llm_check/raw_200_sample.jsonl; analysis/human_llm_check/perfect_audit_sheet.csv,python3 analysis/human_llm_check/generate_audit.py,Use blinded review protocol when extending audit
Human audit agreement,analysis/human_llm_check/calculate_kappa.py,Compute human versus LLM judge agreement,analysis/human_llm_check/perfect_audit_sheet.csv,analysis/human_llm_check/audit_results.txt,python3 analysis/human_llm_check/calculate_kappa.py,Report LLM judged subset separately from deterministic parser rows
Raw AR outputs,ar_models/model_outputs/raw_by_model/*.jsonl,Saved model responses,ar_models/run_model.py,Parsed AR generations; judge inputs,Read by analysis/llm_as_judge/llm_as_judge.py,Tracked in Git and currently below 50 MB per file
Parsed AR outputs,ar_models/model_outputs/parsed_by_model/*.jsonl,Structured parsed AR responses,ar_models/run_model.py,Judge inputs and calibration inputs,Read by analysis/llm_as_judge/llm_as_judge.py,Tracked in Git and currently below 50 MB per file
