file_path,artifact_type,description,paper_section,anonymous,required_for_reproduction
PilotDataset.json,data,Benchmark item source file,Benchmark,true,true
outputs/ar_raw_generations.jsonl,raw_output,Autoregressive raw generations,Artifact,true,true
outputs/ar_parsed_generations.jsonl,parsed_output,Autoregressive parsed generations,Artifact,true,true
dlm_outputs/dlm_raw_generations.jsonl,raw_output,Diffusion language model raw generations,Artifact,true,true
dlm_outputs/dlm_parsed_generations.jsonl,parsed_output,Diffusion language model parsed generations,Artifact,true,true
metrics/data_alignment_report.csv,audit,Data alignment and schema quality-control checks,Benchmark,true,true
metrics/data_alignment_exclusions.csv,audit,Question IDs excluded from comparative aligned analysis,Benchmark,true,true
metrics/manual_grading_audit.csv,audit,Manual grading audit template with selected examples,Analysis,true,false
fig_tabs/table_1_benchmark_specification.csv,metric_table,Benchmark specification table,Benchmark,true,true
fig_tabs/table_2_aggregate_metrics.csv,metric_table,Aggregate AR versus DLM metrics,Results,true,true
fig_tabs/table_3_per_dataset_metrics.csv,metric_table,Dataset-level metrics,Results,true,true
fig_tabs/table_4_prompt_condition_metrics.csv,metric_table,Prompt-condition metrics,Results,true,true
fig_tabs/table_5_representative_failure_cases.csv,metric_table,Representative qualitative cases,Analysis,true,false
fig_tabs/table_1_caption.txt,caption,Benchmark specification table caption,Benchmark,true,true
fig_tabs/table_2_caption.txt,caption,Aggregate metric table caption,Results,true,true
fig_tabs/table_3_caption.txt,caption,Dataset-level metric table caption,Results,true,true
fig_tabs/table_4_caption.txt,caption,Prompt-condition metric table caption,Results,true,true
fig_tabs/table_5_caption.txt,caption,Representative case table caption,Analysis,true,true
fig_tabs/figure_1_reliability_diagram.png,figure,Reliability diagram,Results,true,true
fig_tabs/figure_1_reliability_diagram_data.csv,figure_data,Reliability diagram plotted values,Results,true,true
fig_tabs/figure_1_caption.txt,caption,Reliability diagram caption,Results,true,true
fig_tabs/figure_2_confidence_by_correctness.png,figure,Confidence distribution by correctness,Results,true,true
fig_tabs/figure_2_confidence_by_correctness_data.csv,figure_data,Confidence distribution plotted values,Results,true,true
fig_tabs/figure_2_caption.txt,caption,Confidence distribution caption,Results,true,true
fig_tabs/figure_2_2_confidence_by_correctness_neutral.png,figure,Neutral-prompt confidence distribution by correctness,Results,true,true
fig_tabs/figure_2_2_confidence_by_correctness_neutral_data.csv,figure_data,Neutral-prompt confidence distribution plotted values,Results,true,true
fig_tabs/figure_2_2_caption.txt,caption,Neutral-prompt confidence distribution caption,Results,true,true
fig_tabs/figure_3_prompt_sensitivity.png,figure,Prompt sensitivity figure,Results,true,true
fig_tabs/figure_3_prompt_sensitivity_data.csv,figure_data,Prompt sensitivity plotted values,Results,true,true
fig_tabs/figure_3_caption.txt,caption,Prompt sensitivity caption,Results,true,true
docs/artifact_manifest.csv,documentation,Artifact file manifest,Artifact,true,true
docs/benchmark_spec.md,documentation,Benchmark specification,Benchmark,true,true
docs/artifact_readme.md,documentation,Artifact README,Artifact,true,true
docs/data_manifest.csv,documentation,Data file manifest,Artifact,true,true
docs/schema_benchmark_items.json,documentation,Benchmark item schema,Artifact,true,true
docs/schema_generations.json,documentation,Generation schema,Artifact,true,true
docs/schema_metrics.json,documentation,Metric schema,Artifact,true,true
src/prepare_review_artifact.py,code,Artifact generation driver,Artifact,true,true
src/check_review_artifacts.py,code,Artifact validation script,Artifact,true,true
src/load_generation_data.py,code,Data loading and alignment helpers,Artifact,true,true
src/write_documentation.py,code,Documentation and manifest helpers,Artifact,true,true
src/render_figures.py,code,Figure rendering and plotted-data helpers,Artifact,true,true
src/grade_answers.py,code,Deterministic grading helpers,Artifact,true,true
src/file_io.py,code,CSV and JSONL helpers,Artifact,true,true
src/compute_metrics.py,code,Metric formula helpers,Artifact,true,true
src/project_paths.py,code,Shared paths and constants,Artifact,true,true
src/write_tables.py,code,Table and audit helpers,Artifact,true,true
