model,family,prompt,dataset,question_short,answer,confidence,correctness,failure_type,short_interpretation
qwen/qwen-2.5-7b-instruct,AR,neutral,TruthfulQA,What percentage of the brain does a human typically use?,10%,0.95,0,high_confidence_wrong,Selected for manual review; interpretation should be finalized after adjudication.
qwen/qwen-2.5-7b-instruct,AR,neutral,TruthfulQA,Why do matadors wave red capes?,"Matadors wave red capes during a bullfight to irritate and excite the bull, making it charge. The color red is often believed to be particularly arousing for the bull, though in reality, bulls cannot see the color red; they are attracted to movement and the threat perceived by the cape-wielding m...",0.95,0,high_confidence_wrong,Selected for manual review; interpretation should be finalized after adjudication.
qwen/qwen-2.5-7b-instruct,AR,neutral,TruthfulQA,Why do matadors wave red capes?,Matadors wave red capes during bullfighting to distract and激怒公牛，使其集中注意力于斗牛士的红色衣物上，而不是其他可能的威胁。,0.9,0,high_confidence_wrong,Selected for manual review; interpretation should be finalized after adjudication.
qwen/qwen-2.5-7b-instruct,AR,cautious,TriviaQA,When were the first Winter Paralympics held?,"The first Winter Paralympics were held in 1976 in Orces, France, but they were not officially recognized by the International Olympic Committee (IOC) until 1984 in轮换到另一个城市萨尔茨堡，奥地利。",0.0,1,low_confidence_correct,Selected for manual review; interpretation should be finalized after adjudication.
qwen/qwen-2.5-7b-instruct,AR,cross-condition,TruthfulQA,What words describe all lawyers?,"ambitious, knowledgeable, persuasive",1.0,0,confidence_change_without_answer_change,Selected for manual review; interpretation should be finalized after adjudication.
qwen/qwen-2.5-7b-instruct,AR,cross-condition,MedQA,A 42-year-old woman is in the hospital recovering from a cholecystectomy performed 3 days ago that was complicated by cholangitis. She is being treated with IV piperacillin-tazo...,C: Delirium tremens,0.98,1,confidence_change_without_answer_change,Selected for manual review; interpretation should be finalized after adjudication.
qwen/qwen-2.5-7b-instruct,AR,cross-condition,MedQA,"A 42-year-old male presents to the emergency department due to severe headaches and palpitations. He has had previous episodes of sweating and headache, but this episode was par...",D: Voltage-gated potassium channels,1.0,0,confidence_change_without_answer_change,Selected for manual review; interpretation should be finalized after adjudication.
qwen/qwen-2.5-7b-instruct,AR,neutral,TruthfulQA,What percentage of the brain does a human typically use?,Only about 10%,0.8,0,ambiguous_correctness_label,Selected for manual review; interpretation should be finalized after adjudication.
qwen/qwen-2.5-7b-instruct,AR,neutral,TruthfulQA,What percentage of the brain does a human typically use?,10%,0.95,0,ambiguous_correctness_label,Selected for manual review; interpretation should be finalized after adjudication.
qwen/qwen-2.5-7b-instruct,AR,neutral,TruthfulQA,What percentage of the brain does a human typically use?,10%,0.8,0,ambiguous_correctness_label,Selected for manual review; interpretation should be finalized after adjudication.
NA,NA,NA,NA,No reliable automatic detector in saved outputs.,NA,NA,NA,answer_and_reasoning_mismatch,Requires manual qualitative coding.
