family,model_label,dataset,condition,question_id,sample_id,answer_type,answer,confidence,correctness_label,disagreement_flag,short_explanation
DLM,Dream,GSM8K,overconfident,GSM8K_0724,0,numeric,8,0.95,INCORRECT,numeric answer 8 differs from final explanation number 4,4 slices were left
DLM,Dream,GSM8K,overconfident,GSM8K_0724,1,numeric,8,0.95,INCORRECT,numeric answer 8 differs from final explanation number 4,4 slices were left
DLM,Dream,GSM8K,cautious,GSM8K_0782,1,numeric,21,1.0,INCORRECT,numeric answer 21 differs from final explanation number 2,2 times
DLM,Dream,GSM8K,overconfident,GSM8K_0724,2,numeric,8,0.95,INCORRECT,numeric answer 8 differs from final explanation number 4,4 slices were left
DLM,Dream,GSM8K,neutral,GSM8K_0753,0,numeric,100,1.0,INCORRECT,numeric answer 100 differs from final explanation number 10,10
DLM,Dream,GSM8K,neutral,GSM8K_0753,1,numeric,100,1.0,INCORRECT,numeric answer 100 differs from final explanation number 10,10
DLM,Dream,GSM8K,neutral,GSM8K_0753,2,numeric,100,1.0,INCORRECT,numeric answer 100 differs from final explanation number 10,10
DLM,Dream,GSM8K,cautious,GSM8K_0782,0,numeric,21,1.0,INCORRECT,numeric answer 21 differs from final explanation number 2,2 times
DLM,Dream,GSM8K,cautious,GSM8K_0782,2,numeric,21,1.0,INCORRECT,numeric answer 21 differs from final explanation number 2,2 times
DLM,Dream,GSM8K,cautious,GSM8K_0811,2,numeric,60,1.0,CORRECT,numeric answer 60 differs from final explanation number 10,10
DLM,Dream,GSM8K,cautious,GSM8K_0811,0,numeric,60,1.0,CORRECT,numeric answer 60 differs from final explanation number 10,10
DLM,Dream,GSM8K,cautious,GSM8K_0811,1,numeric,60,1.0,CORRECT,numeric answer 60 differs from final explanation number 10,10
DLM,Dream,GSM8K,overconfident,GSM8K_0811,1,numeric,10,1.0,INCORRECT,numeric answer 10 differs from final explanation number 1,1 branches per day
DLM,Dream,GSM8K,overconfident,GSM8K_0811,0,numeric,10,1.0,INCORRECT,numeric answer 10 differs from final explanation number 1,1 branches per day
DLM,Dream,GSM8K,overconfident,GSM8K_0811,2,numeric,10,1.0,INCORRECT,numeric answer 10 differs from final explanation number 1,1 branches per day
DLM,Dream,GSM8K,neutral,GSM8K_1304,0,numeric,1000,1.0,CORRECT,numeric answer 1000 differs from final explanation number 0,The0
DLM,Dream,GSM8K,neutral,GSM8K_1304,2,numeric,1000,1.0,CORRECT,numeric answer 1000 differs from final explanation number 0,The0
DLM,Dream,GSM8K,neutral,GSM8K_1304,1,numeric,1000,1.0,CORRECT,numeric answer 1000 differs from final explanation number 0,The0
DLM,Dream,GSM8K,neutral,GSM8K_0985,0,numeric,63,1.0,CORRECT,numeric answer 63 differs from final explanation number 9,Edgar's brother brother9 pretzels
DLM,Dream,GSM8K,neutral,GSM8K_0985,2,numeric,63,1.0,CORRECT,numeric answer 63 differs from final explanation number 9,Edgar's brother brother9 pretzels
DLM,Dream,GSM8K,neutral,GSM8K_0985,1,numeric,63,1.0,CORRECT,numeric answer 63 differs from final explanation number 9,Edgar's brother brother9 pretzels
DLM,Dream,GSM8K,overconfident,GSM8K_0985,0,numeric,63,1.0,CORRECT,numeric answer 63 differs from final explanation number 6,6 calculation
DLM,Dream,GSM8K,overconfident,GSM8K_0985,2,numeric,63,1.0,CORRECT,numeric answer 63 differs from final explanation number 6,6 calculation
DLM,Dream,GSM8K,overconfident,GSM8K_0985,1,numeric,63,1.0,CORRECT,numeric answer 63 differs from final explanation number 6,6 calculation
DLM,Dream,GSM8K,neutral,GSM8K_1072,1,numeric,40,1.0,INCORRECT,numeric answer 40 differs from final explanation number 4,4
